Name,URI,Region GSS code,Period,Sales volume,Reporting period,House price index All property types,Pivotable date
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2019-08,311,monthly,114.84,01/08/2019
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2019-09,144,monthly,111.98,01/09/2019
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2019-09,12,monthly,102.55,01/09/2019
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2019-09,191,monthly,92.77,01/09/2019
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2019-09,363,monthly,126.68,01/09/2019
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2019-09,275,monthly,114.49,01/09/2019
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2019-10,154,monthly,106.36,01/10/2019
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2019-10,4,monthly,104.66,01/10/2019
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2019-10,189,monthly,93.78,01/10/2019
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2019-10,418,monthly,126.74,01/10/2019
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2019-10,257,monthly,115.26,01/10/2019
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2019-11,156,monthly,108.32,01/11/2019
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2019-11,5,monthly,98.55,01/11/2019
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2019-11,215,monthly,97.32,01/11/2019
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2019-11,375,monthly,127.46,01/11/2019
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2019-11,213,monthly,114.6,01/11/2019
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2019-12,143,monthly,105.84,01/12/2019
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2019-12,16,monthly,96.74,01/12/2019
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2019-12,242,monthly,99.46,01/12/2019
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2019-12,340,monthly,128.8,01/12/2019
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2019-12,188,monthly,113.72,01/12/2019
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-01,173,monthly,107.48,01/01/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-01,7,monthly,98.76,01/01/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-01,188,monthly,103.27,01/01/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-01,306,monthly,128.98,01/01/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-01,220,monthly,113.34,01/01/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-02,150,monthly,105.97,01/02/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-02,25,monthly,102.03,01/02/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-02,147,monthly,103.76,01/02/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-02,313,monthly,128.96,01/02/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-02,211,monthly,113.36,01/02/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-03,157,monthly,110.15,01/03/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-03,17,monthly,108.11,01/03/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-03,181,monthly,103.34,01/03/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-03,313,monthly,127.9,01/03/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-03,260,monthly,116.16,01/03/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-04,88,monthly,112.19,01/04/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-04,14,monthly,117.17,01/04/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-04,116,monthly,105.85,01/04/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-04,134,monthly,127.61,01/04/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-04,121,monthly,115.63,01/04/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-05,63,monthly,112.17,01/05/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-05,5,monthly,117.12,01/05/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-05,72,monthly,98.43,01/05/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-05,134,monthly,128.67,01/05/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-05,102,monthly,114.7,01/05/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-06,77,monthly,110,01/06/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-06,3,monthly,111.19,01/06/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-06,87,monthly,99.49,01/06/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-06,231,monthly,128.94,01/06/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-06,148,monthly,113.57,01/06/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-07,151,monthly,106.35,01/07/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-07,4,monthly,100.41,01/07/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-07,124,monthly,94.92,01/07/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-07,316,monthly,130.48,01/07/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-07,148,monthly,114.85,01/07/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-08,121,monthly,108.57,01/08/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-08,7,monthly,105.67,01/08/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-08,162,monthly,99.94,01/08/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-08,327,monthly,129.7,01/08/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-08,197,monthly,117.61,01/08/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-09,154,monthly,110.15,01/09/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-09,6,monthly,102.18,01/09/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-09,198,monthly,96.24,01/09/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-09,332,monthly,130.56,01/09/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-09,215,monthly,118.59,01/09/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-10,180,monthly,108.27,01/10/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-10,7,monthly,105.21,01/10/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-10,182,monthly,92.64,01/10/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-10,426,monthly,131.09,01/10/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-10,229,monthly,118.55,01/10/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-11,162,monthly,105.95,01/11/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-11,11,monthly,98.41,01/11/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-11,147,monthly,91.99,01/11/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-11,410,monthly,132.14,01/11/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-11,216,monthly,119.47,01/11/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2020-12,163,monthly,102.3,01/12/2020
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2020-12,8,monthly,101.83,01/12/2020
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2020-12,199,monthly,91.77,01/12/2020
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2020-12,431,monthly,131.58,01/12/2020
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2020-12,267,monthly,120.19,01/12/2020
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-01,159,monthly,103.88,01/01/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-01,12,monthly,96.73,01/01/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-01,167,monthly,95.05,01/01/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-01,371,monthly,131.92,01/01/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-01,219,monthly,121.04,01/01/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-02,180,monthly,103.33,01/02/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-02,5,monthly,92.88,01/02/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-02,152,monthly,96.27,01/02/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-02,450,monthly,132.75,01/02/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-02,277,monthly,120.71,01/02/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-03,325,monthly,104.62,01/03/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-03,25,monthly,92.59,01/03/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-03,326,monthly,97.72,01/03/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-03,730,monthly,135.2,01/03/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-03,458,monthly,121.73,01/03/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-04,175,monthly,105.24,01/04/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-04,7,monthly,95.55,01/04/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-04,162,monthly,95.34,01/04/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-04,444,monthly,136.34,01/04/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-04,279,monthly,120.91,01/04/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-05,138,monthly,106.69,01/05/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-05,11,monthly,96.48,01/05/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-05,150,monthly,91.23,01/05/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-05,361,monthly,136.37,01/05/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-05,255,monthly,120.49,01/05/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-06,566,monthly,105.83,01/06/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-06,48,monthly,98.73,01/06/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-06,607,monthly,87.91,01/06/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-06,1035,monthly,136.84,01/06/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-06,847,monthly,121.05,01/06/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-07,43,monthly,113.14,01/07/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-07,4,monthly,116.44,01/07/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-07,58,monthly,93.75,01/07/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-07,178,monthly,135.7,01/07/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-07,103,monthly,122.94,01/07/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-08,103,monthly,113.17,01/08/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-08,3,monthly,116.88,01/08/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-08,113,monthly,105.48,01/08/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-08,272,monthly,136.58,01/08/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-08,171,monthly,124.46,01/08/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-09,229,monthly,112.7,01/09/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-09,20,monthly,116.28,01/09/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-09,211,monthly,105.08,01/09/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-09,593,monthly,136.79,01/09/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-09,440,monthly,123.97,01/09/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-10,74,monthly,106.85,01/10/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-10,7,monthly,99.97,01/10/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-10,116,monthly,105.02,01/10/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-10,222,monthly,139.63,01/10/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-10,155,monthly,125.21,01/10/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-11,116,monthly,110.25,01/11/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-11,10,monthly,100.8,01/11/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-11,170,monthly,100.79,01/11/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-11,315,monthly,140.34,01/11/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-11,197,monthly,124.8,01/11/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2021-12,144,monthly,112.65,01/12/2021
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2021-12,8,monthly,102.27,01/12/2021
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2021-12,168,monthly,107.65,01/12/2021
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2021-12,360,monthly,140.21,01/12/2021
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2021-12,221,monthly,124.76,01/12/2021
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-01,111,monthly,113.28,01/01/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-01,10,monthly,105.56,01/01/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-01,161,monthly,108.84,01/01/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-01,263,monthly,139.35,01/01/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-01,196,monthly,125.2,01/01/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-02,156,monthly,112.73,01/02/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-02,7,monthly,108.13,01/02/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-02,175,monthly,108.73,01/02/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-02,303,monthly,140.02,01/02/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-02,203,monthly,125.32,01/02/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-03,142,monthly,114.55,01/03/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-03,14,monthly,105.1,01/03/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-03,210,monthly,108.61,01/03/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-03,382,monthly,141.59,01/03/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-03,263,monthly,124.83,01/03/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-04,133,monthly,113.93,01/04/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-04,12,monthly,103.6,01/04/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-04,219,monthly,105.25,01/04/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-04,322,monthly,142.44,01/04/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-04,239,monthly,124.04,01/04/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-05,163,monthly,111.2,01/05/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-05,16,monthly,101.6,01/05/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-05,193,monthly,101.4,01/05/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-05,320,monthly,143.1,01/05/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-05,244,monthly,124.9,01/05/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-06,159,monthly,109.1,01/06/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-06,8,monthly,104.4,01/06/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-06,192,monthly,100.4,01/06/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-06,313,monthly,142.8,01/06/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-06,244,monthly,127.1,01/06/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-07,165,monthly,110.4,01/07/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-07,15,monthly,105.2,01/07/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-07,219,monthly,100.5,01/07/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-07,389,monthly,144.4,01/07/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-07,284,monthly,129.6,01/07/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-08,173,monthly,112.2,01/08/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-08,19,monthly,114.2,01/08/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-08,202,monthly,102.8,01/08/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-08,368,monthly,146.8,01/08/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-08,292,monthly,130.7,01/08/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-09,237,monthly,112.3,01/09/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-09,17,monthly,113.8,01/09/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-09,209,monthly,101.2,01/09/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-09,393,monthly,149,01/09/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-09,302,monthly,131,01/09/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-10,151,monthly,110.7,01/10/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-10,11,monthly,116.2,01/10/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-10,206,monthly,99.9,01/10/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-10,352,monthly,149.7,01/10/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-10,255,monthly,130,01/10/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-11,155,monthly,109.4,01/11/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-11,7,monthly,121.5,01/11/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-11,221,monthly,99.9,01/11/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-11,362,monthly,149.1,01/11/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-11,357,monthly,129.6,01/11/2022
Camden,http://landregistry.data.gov.uk/id/region/camden,E09000007,2022-12,131,monthly,110.3,01/12/2022
City of London,http://landregistry.data.gov.uk/id/region/city-of-london,E09000001,2022-12,10,monthly,121.7,01/12/2022
City of Westminster,http://landregistry.data.gov.uk/id/region/city-of-westminster,E09000033,2022-12,173,monthly,100.8,01/12/2022
Croydon,http://landregistry.data.gov.uk/id/region/croydon,E09000008,2022-12,339,monthly,148.6,01/12/2022
Ealing,http://landregistry.data.gov.uk/id/region/ealing,E09000009,2022-12,224,monthly,129.5,01/12/2022
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-01,202,monthly,125.17,01/01/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-01,273,monthly,121.5,01/01/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-01,155,monthly,112.4,01/01/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-01,110,monthly,98.59,01/01/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-01,158,monthly,119.65,01/01/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-02,194,monthly,125.69,01/02/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-02,262,monthly,123.45,01/02/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-02,173,monthly,113.43,01/02/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-02,113,monthly,97.87,01/02/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-02,132,monthly,119.52,01/02/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-03,182,monthly,124.63,01/03/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-03,298,monthly,121.48,01/03/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-03,205,monthly,118.17,01/03/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-03,129,monthly,97.85,01/03/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-03,145,monthly,117.72,01/03/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-04,193,monthly,124.67,01/04/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-04,235,monthly,120.18,01/04/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-04,139,monthly,121.91,01/04/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-04,129,monthly,97.48,01/04/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-04,115,monthly,116.17,01/04/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-05,165,monthly,122.78,01/05/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-05,253,monthly,119.74,01/05/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-05,148,monthly,119.72,01/05/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-05,144,monthly,97.89,01/05/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-05,162,monthly,118.82,01/05/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-06,217,monthly,123.45,01/06/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-06,218,monthly,122.29,01/06/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-06,113,monthly,116.82,01/06/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-06,131,monthly,97.19,01/06/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-06,152,monthly,118.44,01/06/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-07,231,monthly,122.46,01/07/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-07,293,monthly,125.17,01/07/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-07,348,monthly,118.88,01/07/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-07,190,monthly,98.97,01/07/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-07,197,monthly,120.73,01/07/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-08,268,monthly,124.24,01/08/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-08,344,monthly,124.92,01/08/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-08,232,monthly,121.11,01/08/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-08,199,monthly,99.4,01/08/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-08,208,monthly,119.6,01/08/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-09,236,monthly,122.37,01/09/2019
Greenwich,http://landregistry.data.gov.uk/id/region/greenwich,E09000011,2019-09,309,monthly,127.12,01/09/2019
Hackney,http://landregistry.data.gov.uk/id/region/hackney,E09000012,2019-09,167,monthly,121.56,01/09/2019
Hammersmith and Fulham,http://landregistry.data.gov.uk/id/region/hammersmith-and-fulham,E09000013,2019-09,169,monthly,100.04,01/09/2019
Haringey,http://landregistry.data.gov.uk/id/region/haringey,E09000014,2019-09,184,monthly,121.73,01/09/2019
Enfield,http://landregistry.data.gov.uk/id/region/enfield,E09000010,2019-10,250,monthly,124.08,01/10/2019
